,Text
0,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Tiramisù ### Output:{'ingredients': ""['Mascarpone', 'Uova', 'Savoiardi', 'Zucchero', 'Caffè', 'Cacao amaro in polvere']"", 'description': 'Tiramisù is a delightful Italian dessert, often presented in a layered format, featuring the use of rich and creamy mascarpone cheese, blended with eggs to create a smooth and decadent cream. This luscious cream is then combined with a delicate balance of sugar and bold, aromatic coffee. The mixture is then artfully layered with airy savoiardi biscuits, which serve to soak up the coffee flavors while adding a satisfying crunch. The dish is finally finished off with a dusting of bitter cocoa powder, adding an elegant touch that complements the sweet and creamy elements of the dessert.', 'allergen': ""['Egg']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
1,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Cookies ### Output:{'ingredients': ""['Farina 00', 'Burro', 'Bicarbonato', 'Uova', 'Zucchero di canna', 'Zucchero', 'Gocce di cioccolato fondente', 'Sale fino']"", 'description': 'These ""Cookies"" are a delightful treat, classically made with fine ""Farina 00,"" rich ""Burro,"" leavening ""Bicarbonato,"" ""Uova"" (eggs), and a blend of ""Zucchero di canna"" and ""Zucchero"" (sugars) to create a perfectly sweet foundation. Indulgent ""Gocce di cioccolato fondente"" (chocolate chips) are generously mixed in for added luxury, while a pinch of ""Sale fino"" (fine salt) heightens all the flavors.', 'allergen': ""['Cereals', 'Crustaceans', 'Egg', 'Fish', 'Peanuts', 'SOYBEAN', 'Latte', 'Nuts', 'Celery', 'Mustard', 'Sesame seeds', 'Sulfur dioxide and sulphites', 'Shell', 'Clams']"", 'Additional_information': '[]'}"
2,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Pancake allo sciroppo d'acero ### Output:{'ingredients': ""['Burro', 'Farina 00', 'Uova', 'Latte intero', 'Lievito in polvere per dolci', 'Zucchero', 'Sciroppo di acero']"", 'description': 'The dish ""Pancake allo sciroppo d\'acero"" features classic pancakes drizzled with sweet, rich maple syrup. The pancakes are made from a combination of finely milled ""00"" flour, eggs, whole milk, and leavened with powdered sweet yeast, with a touch of sugar added for a hint of sweetness. The star ingredient is the maple syrup, elevating the pancakes with its distinct, robust flavor.', 'allergen': ""['Egg', 'Latte']"", 'Additional_information': ""['Vegetarian']""}"
3,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Crema al mascarpone ### Output:{'ingredients': ""['Mascarpone', 'Zucchero', 'Tuorli', 'Acqua', 'Cacao amaro in polvere']"", 'description': '""Crema al mascarpone"" is a delightful and creamy dessert, featuring a rich combination of mascarpone cheese and sugar, sweetened with a hint of powdered bitter cocoa.', 'allergen': ""['Egg', 'Latte', 'Nuts']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
4,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Crepe dolci e salate (ricetta base) ### Output:{'ingredients': ""['Uova', 'Farina 00', 'Latte intero', 'Burro']"", 'description': '""Crepe Dolci e Salate (Basic Recipe)"" refers to a versatile dish that can be made sweet or savory, using a base recipe involving eggs, fine flour (00), whole milk, and butter. The recipe provides a foundation for creating various delicious crepe recipes, to be enjoyed either as a dessert, a main course, or a snack, limited only by one\'s imagination and taste preferences.', 'allergen': ""['Cereals', 'Egg', 'Latte']"", 'Additional_information': ""['Vegetarian']""}"
5,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Lasagne alla Bolognese ### Output:{'ingredients': '[\'Semola di grano duro rimacinata\', \'Farina 00\', \'Spinaci\', \'Uova\', \'Tuorli\', \'Carne bovina\', \'Pancetta\', \'Carote\', \'Sedano\', \'Cipolle dorate\', \'Vino rosso\', \'Passata di pomodoro\', \'Brodo vegetale\', ""Olio extravergine d\'oliva"", \'Sale fino\', \'Pepe nero\', \'Burro\', \'Farina 00\', \'Latte intero\', \'Sale fino\', \'Noce moscata\', \'Burro\', \'Parmigiano Reggiano DOP\']', 'description': '""Lasagne alla Bolognese"" is a traditional Italian dish that features pasta layers made with durum wheat semolina and flour, combined with spinach and eggs. The meat sauce is prepared using ground beef, pancetta, and a soffritto of carrots, celery, and golden onions, simmered in red wine, passata di pomodoro, and vegetable broth. The dish is finished with a béchamel sauce made from butter, flour, milk, and nutmeg, and topped with Parmigiano-Reggiano cheese.', 'allergen': ""['Cereals', 'Crustaceans', 'Egg', 'Fish', 'Peanuts', 'SOYBEAN', 'Latte', 'Nuts', 'Celery', 'Mustard', 'Sesame seeds', 'Sulfur dioxide and sulphites', 'Shell', 'Clams']"", 'Additional_information': '[]'}"
6,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Besciamella ### Output:{'ingredients': ""['Latte intero', 'Burro', 'Farina 00', 'Sale fino', 'Noce moscata']"", 'description': 'Besciamella is a classic Italian sauce, also known as béchamel in French cuisine. It is a mother sauce in the culinary world, used as a base for many other sauces. Besciamella is made by gently cooking flour in butter until it turns golden, then gradually whisking in warm whole milk until the sauce thickens. A pinch of fine salt and grated nutmeg are added for seasoning. The result is a silky, rich and velvety sauce with a subtle yet delightful flavor. It is a versatile component in many dishes, including lasagna, pasta gratin, and vegetables au gratin.', 'allergen': ""['Cereals', 'Latte']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
7,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Pasta per la pizza ### Output:{'ingredients': ""['Farina Manitoba', 'Farina 00', 'Acqua', 'Sale fino', 'Lievito di birra fresco']"", 'description': '""Pasta per la pizza"" is a type of dough made using a combination of ""Farina Manitoba"" and ""Farina 00"" flours, mixed with water, fine salt, and fresh brewer\'s yeast. This dough is typically used as the base for pizza.', 'allergen': ""['Cereals']"", 'Additional_information': ""['Vegetarian']""}"
8,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Biscotti di Pan di zenzero (gingerbread) ### Output:{'ingredients': ""['Zenzero in polvere', 'Farina 00', 'Chiodi di garofano macinati', 'Noce moscata', 'Cannella in polvere', 'Bicarbonato', 'Zucchero', 'Burro', 'Uova', 'Sale fino', 'Miele', 'Zucchero a velo', 'Albumi']"", 'description': '""Biscotti di Pan di zenzero"" are traditional Italian cookies made with powdered ginger, fine flour, ground cloves, nutmeg, powdered cinnamon, baking soda, sugar, butter, eggs, fine salt, honey, powdered sugar, and egg whites.', 'allergen': ""['Cereals', 'Crustaceans', 'Egg']"", 'Additional_information': ""['Spicy', 'Vegan', 'Gluten free', 'Vegetarian']""}"
9,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Spaghetti alla Carbonara ### Output:{'ingredients': ""['Spaghetti', 'Guanciale', 'Tuorli', 'Pecorino romano', 'Pepe nero']"", 'description': '""Spaghetti alla Carbonara"" is a traditional Italian pasta dish featuring spaghetti tossed in a creamy sauce made from guanciale, a type of Italian cured pork cheek, and egg yolks, with pecorino romano cheese and freshly ground black pepper adding depth of flavor.', 'allergen': ""['Cereals', 'Egg']"", 'Additional_information': '[]'}"
