,Text
0,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The Vegetarian', 'Personas': {'Age': '18-65', 'Interests': 'Vegetarianism'}} ### Output:🎅Ci stiamo avvolgendo nell'atmosfera natalizia e il countdown verso il Natale è ormai agli sgoccioli! 🎅

🎄 Siamo felici di presentarvi il nostro menù, appositamente ideato per deliziare i vostri palati durante questa festa speciale!

✨Prenota ora il tuo Pranzo di Natale insieme ai tuoi cari al Ristorante Ciasa de Gahja

Disponibile anche menu per bambini e vegetariano 💚

📍 Via Anzolet 13, Budoia, PN
📞 Per info e prenotazioni 375 521 5537"
1,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The Vegetarian', 'Personas': {'Age': '18-65', 'Interests': 'Vegetarianism'}} ### Output:🎅Ci stiamo avvolgendo nell'atmosfera natalizia e il countdown verso il Natale è ormai agli sgoccioli! 🎅

🎄 Siamo felici di presentarvi il nostro menù, appositamente ideato per deliziare i vostri palati durante questa festa speciale!

✨Prenota ora il tuo Pranzo di Natale insieme ai tuoi cari al Ristorante Ciasa de Gahja

Disponibile anche menu per bambini e vegetariano 💚

📍 Via Anzolet 13, Budoia, PN
📞 Per info e prenotazioni 375 521 5537"
2,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The Vegan', 'Personas': {'Age': '18-65', 'Interests': 'Veganism'}} ### Output:🎄 Festeggia il Natale con Gusto, il nostro Menu ti aspetta 🎄

Lasciati avvolgere dalla calda atmosfera delle festività e dai piaceri gastronomici che abbiamo preparato per te.
Prenota il tuo tavolo ora e regalati, insieme ai tuoi cari, un'esperienza culinaria indimenticabile che rimarrà nei tuoi ricordi più preziosi.

Scopri i nostri Menù

Menù Base €85
Menù Vegetariano €80
Menù Bambino €25

Per rendere il tuo momento ancora più speciale, puoi scegliere tra oltre 100 etichette presenti nella nostra Carta dei Vini, o lasciarti tentare dal nostro Vino della Casa, un'autentica delizia a 10 euro al litro. 
Abbina il tuo pasto con il tocco perfetto di eleganza e gusto 🍷✨

Chiamaci al 375 521 5537 per scoprire il nostro Menù 💫"
3,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The Vegetarian', 'Personas': {'Age': '18-65', 'Interests': 'Vegetarianism'}} ### Output:🎄 Festeggia il Natale con Gusto, il nostro Menu ti aspetta 🎄

Lasciati avvolgere dalla calda atmosfera delle festività e dai piaceri gastronomici che abbiamo preparato per te.
Prenota il tuo tavolo ora e regalati, insieme ai tuoi cari, un'esperienza culinaria indimenticabile che rimarrà nei tuoi ricordi più preziosi.

Scopri i nostri Menù

Menù Base €85
Menù Vegetariano €80
Menù Bambino €25

Per rendere il tuo momento ancora più speciale, puoi scegliere tra oltre 100 etichette presenti nella nostra Carta dei Vini, o lasciarti tentare dal nostro Vino della Casa, un'autentica delizia a 10 euro al litro. 
Abbina il tuo pasto con il tocco perfetto di eleganza e gusto 🍷✨

Chiamaci al 375 521 5537 per scoprire il nostro Menù 💫"
4,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The Saver', 'Personas': {'Age': '18-65', 'Interests': 'Coupon, Discount'}} ### Output:🎄 Festeggia il Natale con Gusto, il nostro Menu ti aspetta 🎄

Lasciati avvolgere dalla calda atmosfera delle festività e dai piaceri gastronomici che abbiamo preparato per te.
Prenota il tuo tavolo ora e regalati, insieme ai tuoi cari, un'esperienza culinaria indimenticabile che rimarrà nei tuoi ricordi più preziosi.

Scopri i nostri Menù

Menù Base €85
Menù Vegetariano €80
Menù Bambino €25

Per rendere il tuo momento ancora più speciale, puoi scegliere tra oltre 100 etichette presenti nella nostra Carta dei Vini, o lasciarti tentare dal nostro Vino della Casa, un'autentica delizia a 10 euro al litro. 
Abbina il tuo pasto con il tocco perfetto di eleganza e gusto 🍷✨

Chiamaci al 375 521 5537 per scoprire il nostro Menù 💫"
5,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'I Single', 'Personas': {'Age': '18-65', 'DemographicData': 'Divorced, Single, Separated, Widowed'}} ### Output:Se non vuoi affrontare il classico cenone organizzato e vuoi goderti una festa senza stress, la Cantina Arnaldi ti aspetta con le braccia spalancate fino a notte fonda 😉

Musetto Night e Cicheti speciali!

Basi a tutti belli e brutti"
6,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Commuters', 'Personas': {'Age': '18-65', 'Behaviors': 'Commuters'}} ### Output:Se non vuoi affrontare il classico cenone organizzato e vuoi goderti una festa senza stress, la Cantina Arnaldi ti aspetta con le braccia spalancate fino a notte fonda 😉

Musetto Night e Cicheti speciali!

Basi a tutti belli e brutti"
7,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The tourist', 'Personas': {'Age': '18-65', 'Behaviors': 'tourist'}} ### Output:Se non vuoi affrontare il classico cenone organizzato e vuoi goderti una festa senza stress, la Cantina Arnaldi ti aspetta con le braccia spalancate fino a notte fonda 😉

Musetto Night e Cicheti speciali!

Basi a tutti belli e brutti"
8,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Offsite', 'Personas': {'Age': '18-65', 'DemographicData': 'Far from family, far from the city of origin'}} ### Output:Alla ricerca di idee regalo che facciano saltare di gioia anche il tuo cuore?
Beh, non cercare oltre! 🎁 

Ti aspettiamo in Cantina Arnaldi, il regalo perfetto è già qui.

📍Ci trovi in Via Salizada San Pantalon 35 a Venezia 
📞 Per info puoi chiamarci al numero 041 524 4992"
9,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The tourist', 'Personas': {'Age': '18-65', 'Behaviors': 'tourist'}} ### Output:Alla ricerca di idee regalo che facciano saltare di gioia anche il tuo cuore?
Beh, non cercare oltre! 🎁 

Ti aspettiamo in Cantina Arnaldi, il regalo perfetto è già qui.

📍Ci trovi in Via Salizada San Pantalon 35 a Venezia 
📞 Per info puoi chiamarci al numero 041 524 4992"
